REQ DEL DATE1,TIME1,TIME2,REQ DEL DATE2,DOC.TYPE,PLANT,ROUTE,VEHICLE NO.,VENDOR NAME.,CUSTOMER
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,176
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,10102
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,10134
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,16663
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,23136
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,26106
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,26636
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,26694
19-07-13,8:27:43,22-07-13,18:00:00,ZBVM,1100,22401,DL1LK0262,Maheshwari Tpt Service,27669
19-07-13,6:58:20,22-07-13,18:00:00,ZBVM,1100,22403,DL1LG6691,Maheshwari Tpt Service,10611
19-07-13,6:58:20,22-07-13,18:00:00,ZBVM,1100,22403,DL1LG6691,Maheshwari Tpt Service,13632
19-07-13,6:58:20,22-07-13,18:00:00,ZBVM,1100,22403,DL1LG6691,Maheshwari Tpt Service,16650
19-07-13,6:58:20,22-07-13,18:00:00,ZBVM,1100,22403,DL1LG6691,Maheshwari Tpt Service,16679
19-07-13,6:58:20,22-07-13,18:00:00,ZBVM,1100,22403,DL1LG6691,Maheshwari Tpt Service,24664
19-07-13,6:58:20,22-07-13,18:00:00,ZBVM,1100,22403,DL1LG6691,Maheshwari Tpt Service,25634
19-07-13,6:58:20,22-07-13,18:00:00,ZBVM,1100,22403,DL1LG6691,Maheshwari Tpt Service,25636
19-07-13,6:58:20,22-07-13,18:00:00,ZBVM,1100,22403,DL1LG6691,Maheshwari Tpt Service,26680
