Billing Date,Route,Sold-to party
13-08-15,2311,13648
13-08-15,2311,16693
13-08-15,2311,16697
13-08-15,2311,24612
13-08-15,2311,25620
13-08-15,2311,26621
13-08-15,2311,27665
13-08-15,2311,27690
13-08-15,2311,28690
13-08-15,2311,29617
13-08-15,2311,29618
13-08-15,2311,30524
13-08-15,2312,1512
13-08-15,2312,23534
13-08-15,2312,23565
13-08-15,2312,24549
13-08-15,2312,26543
13-08-15,2312,26594
13-08-15,2312,27516
13-08-15,2312,28513
13-08-15,2312,28533
13-08-15,2312,29504
13-08-15,2312,30513
13-08-15,2312,30515
13-08-15,2312,30522
13-08-15,2312,30546
13-08-15,2312,30549
13-08-15,2313,8
13-08-15,2313,236
13-08-15,2313,17030
13-08-15,2313,23018
13-08-15,2313,23042
13-08-15,2313,24009
13-08-15,2313,26088
13-08-15,2313,27062
13-08-15,2313,27089
13-08-15,2313,27092
13-08-15,2313,28034
13-08-15,2314,23
13-08-15,2314,16079
13-08-15,2314,17020
13-08-15,2314,23027
13-08-15,2314,24038
13-08-15,2314,26012
13-08-15,2314,26087
13-08-15,2314,27005
13-08-15,2314,27057
13-08-15,2314,27093
13-08-15,2314,28029
13-08-15,2314,28030
13-08-15,2314,28033
13-08-15,2314,28042
13-08-15,2315,13503
13-08-15,2315,16592
13-08-15,2315,23519
13-08-15,2315,23539
13-08-15,2315,23572
13-08-15,2315,25516
13-08-15,2315,25587
13-08-15,2315,26546
13-08-15,2315,26564
13-08-15,2315,27572
13-08-15,2315,28517
13-08-15,2315,28579
13-08-15,2315,29523
13-08-15,2315,29542
13-08-15,2315,29596
13-08-15,2315,30553
13-08-15,2315,30559
13-08-15,2316,508
13-08-15,2316,559
13-08-15,2316,10515
13-08-15,2316,16567
13-08-15,2316,16581
13-08-15,2316,23524
13-08-15,2316,26519
13-08-15,2316,26566
13-08-15,2316,28532
13-08-15,2316,29544
13-08-15,2316,30552
13-08-15,2317,1514
13-08-15,2317,13504
13-08-15,2317,13518
13-08-15,2317,16524
13-08-15,2317,16575
13-08-15,2317,23511
13-08-15,2317,23517
13-08-15,2317,23526
13-08-15,2317,24564
13-08-15,2317,24565
13-08-15,2317,25553
13-08-15,2317,26554
13-08-15,2317,27573
13-08-15,2317,28509
13-08-15,2317,29527
13-08-15,2317,29528
13-08-15,2317,29564
13-08-15,2317,30502
13-08-15,2317,30532
13-08-15,2318,634
13-08-15,2318,13602
13-08-15,2318,13659
13-08-15,2318,13692
13-08-15,2318,16144
13-08-15,2318,16627
13-08-15,2318,16638
13-08-15,2318,16672
13-08-15,2318,23617
13-08-15,2318,23620
13-08-15,2318,23654
13-08-15,2318,24648
13-08-15,2318,28651
13-08-15,2318,29619
13-08-15,2318,29620
13-08-15,2318,29621
13-08-15,2318,29624
13-08-15,2319,13619
13-08-15,2319,13656
13-08-15,2319,13674
13-08-15,2319,16139
13-08-15,2319,17604
13-08-15,2319,25606
13-08-15,2319,27620
13-08-15,2319,27649
13-08-15,2319,28658
13-08-15,2319,28696
13-08-15,2319,29612
13-08-15,2319,29625
13-08-15,2319,29644
13-08-15,2320,102
13-08-15,2320,142
13-08-15,2320,13687
13-08-15,2320,16114
13-08-15,2320,23116
13-08-15,2320,23123
13-08-15,2320,26124
13-08-15,2320,26138
13-08-15,2320,26141
13-08-15,2320,26144
13-08-15,2320,27634
13-08-15,2320,27648
13-08-15,2321,315
13-08-15,2321,10618
13-08-15,2321,17603
13-08-15,2321,17608
13-08-15,2321,24603
13-08-15,2321,26316
13-08-15,2321,28601
13-08-15,2321,28644
13-08-15,2321,28647
13-08-15,2322,16092
13-08-15,2322,16098
13-08-15,2322,17015
13-08-15,2322,17036
13-08-15,2322,23031
13-08-15,2322,23081
13-08-15,2322,26039
13-08-15,2322,26061
13-08-15,2322,27011
13-08-15,2322,27012
13-08-15,2322,27015
13-08-15,2323,13046
13-08-15,2323,13075
13-08-15,2323,16003
13-08-15,2323,16007
13-08-15,2323,16036
13-08-15,2323,17013
13-08-15,2323,17039
13-08-15,2323,17041
13-08-15,2323,23012
13-08-15,2323,27017
13-08-15,2323,27065
13-08-15,2323,27066
13-08-15,2323,28032
13-08-15,2324,406
13-08-15,2324,13511
13-08-15,2324,23520
13-08-15,2324,23531
13-08-15,2324,23552
13-08-15,2324,23556
13-08-15,2324,23563
13-08-15,2324,27565
13-08-15,2324,28508
13-08-15,2324,28565
13-08-15,2324,28570
13-08-15,2324,29502
13-08-15,2324,30514
13-08-15,2324,30568
13-08-15,2325,418
13-08-15,2325,19302
13-08-15,2325,23303
13-08-15,2325,23568
13-08-15,2325,26304
13-08-15,2325,26313
13-08-15,2325,28512
13-08-15,2325,28524
13-08-15,2325,28574
13-08-15,2325,29517
13-08-15,2325,29590
13-08-15,2326,13603
13-08-15,2326,16116
13-08-15,2326,16118
13-08-15,2326,16136
13-08-15,2326,23107
13-08-15,2326,23138
13-08-15,2326,23307
13-08-15,2326,26121
13-08-15,2326,26122
13-08-15,2326,26126
13-08-15,2326,26127
13-08-15,2326,26149
13-08-15,2326,28688
13-08-15,2327,13626
13-08-15,2327,13646
13-08-15,2327,13649
13-08-15,2327,13660
13-08-15,2327,13676
13-08-15,2327,13690
13-08-15,2327,16636
13-08-15,2327,16649
13-08-15,2327,17602
13-08-15,2327,25635
13-08-15,2327,28662
13-08-15,2327,28699
13-08-15,2327,29603
13-08-15,2327,29605
13-08-15,2327,29642
13-08-15,2327,29645
13-08-15,2328,13616
13-08-15,2328,13627
13-08-15,2328,13653
13-08-15,2328,13666
13-08-15,2328,13678
13-08-15,2328,16601
