Billing Date,Route,Sold-to party
20-08-15,22311,13714
20-08-15,22311,23798
20-08-15,22311,23899
20-08-15,22311,27726
20-08-15,22311,28883
20-08-15,22311,29733
20-08-15,22311,29763
20-08-15,22311,29887
20-08-15,22311,29889
20-08-15,22311,31898
20-08-15,22311,32887
20-08-15,22311,34856
20-08-15,22311,34862
20-08-15,22311,34864
20-08-15,22311,34871
20-08-15,22311,34899
20-08-15,22312,12857
20-08-15,22312,12899
20-08-15,22312,13870
20-08-15,22312,13895
20-08-15,22312,17805
20-08-15,22312,23829
20-08-15,22312,24794
20-08-15,22312,24809
20-08-15,22312,27839
20-08-15,22312,28816
20-08-15,22312,28817
20-08-15,22312,30862
20-08-15,22312,32871
20-08-15,22312,34859
20-08-15,22312,34879
20-08-15,22312,34882
20-08-15,22312,35852
20-08-15,22313,12867
20-08-15,22313,13863
20-08-15,22313,23897
20-08-15,22313,24879
20-08-15,22313,24898
20-08-15,22313,25860
20-08-15,22313,27896
20-08-15,22313,28862
20-08-15,22313,30865
20-08-15,22313,32878
20-08-15,22313,34866
20-08-15,22313,34895
20-08-15,22314,16708
20-08-15,22314,23850
20-08-15,22314,25880
20-08-15,22314,25892
20-08-15,22314,25894
20-08-15,22314,26885
20-08-15,22314,27885
20-08-15,22314,29853
20-08-15,22314,29867
20-08-15,22314,29894
20-08-15,22314,30877
20-08-15,22314,30888
20-08-15,22314,31892
20-08-15,22314,32891
20-08-15,22314,33859
20-08-15,22314,33882
20-08-15,22314,33892
20-08-15,22314,34868
20-08-15,22314,34887
20-08-15,22315,349
20-08-15,22315,407
20-08-15,22315,416
20-08-15,22315,523
20-08-15,22315,16311
20-08-15,22315,28574
20-08-15,22315,29590
20-08-15,22315,30503
20-08-15,22316,23929
20-08-15,22316,26925
20-08-15,22316,26929
20-08-15,22316,26940
20-08-15,22316,26943
20-08-15,22316,26949
20-08-15,22316,27924
20-08-15,22316,27933
20-08-15,22316,27942
20-08-15,22316,27946
20-08-15,22316,27947
20-08-15,22316,27948
20-08-15,22317,1502
20-08-15,22317,1504
20-08-15,22317,16513
20-08-15,22317,16533
20-08-15,22317,16591
20-08-15,22317,23501
20-08-15,22317,23550
20-08-15,22317,23578
20-08-15,22317,23587
20-08-15,22317,24532
20-08-15,22317,24536
20-08-15,22317,24575
20-08-15,22317,27502
20-08-15,22317,28526
20-08-15,22317,28567
20-08-15,22317,28595
20-08-15,22317,29532
20-08-15,22317,29560
20-08-15,22317,30507
20-08-15,22318,13513
20-08-15,22318,13516
20-08-15,22318,13517
20-08-15,22318,16504
20-08-15,22318,16555
20-08-15,22318,23523
20-08-15,22318,23525
20-08-15,22318,23544
20-08-15,22318,24501
20-08-15,22318,24542
20-08-15,22318,24543
20-08-15,22318,26549
20-08-15,22318,26561
20-08-15,22318,26585
20-08-15,22318,26944
20-08-15,22318,27515
20-08-15,22318,27552
20-08-15,22318,28564
20-08-15,22318,29546
20-08-15,22318,29571
20-08-15,22319,602
20-08-15,22319,616
20-08-15,22319,663
20-08-15,22319,665
20-08-15,22319,1603
20-08-15,22319,10214
20-08-15,22319,16310
20-08-15,22319,16603
20-08-15,22319,23609
20-08-15,22319,23662
20-08-15,22319,23687
20-08-15,22319,24627
20-08-15,22319,28674
20-08-15,22320,632
20-08-15,22320,16101
20-08-15,22320,16127
20-08-15,22320,16129
20-08-15,22320,16141
20-08-15,22320,23080
