Billing Date,Route,Sold-to party
26/02/2014,22401,176
26/02/2014,22401,10102
26/02/2014,22401,10134
26/02/2014,22401,16663
26/02/2014,22401,23136
26/02/2014,22401,26106
26/02/2014,22401,26143
26/02/2014,22401,26147
26/02/2014,22401,26636
26/02/2014,22401,26694
26/02/2014,22401,27669
26/02/2014,22401,28608
26/02/2014,22401,28668
26/02/2014,22402,58
26/02/2014,22402,10084
26/02/2014,22402,14002
26/02/2014,22402,16123
26/02/2014,22402,16126
26/02/2014,22402,17028
26/02/2014,22402,23009
26/02/2014,22402,23041
26/02/2014,22402,23051
26/02/2014,22402,24011
26/02/2014,22402,24021
26/02/2014,22402,24043
26/02/2014,22402,26010
26/02/2014,22402,26023
26/02/2014,22402,26030
26/02/2014,22402,26054
26/02/2014,22402,27051
26/02/2014,22403,670
26/02/2014,22403,10611
26/02/2014,22403,13632
26/02/2014,22403,13639
26/02/2014,22403,16650
26/02/2014,22403,25634
26/02/2014,22403,25636
26/02/2014,22403,26680
26/02/2014,22403,26693
26/02/2014,22403,27631
26/02/2014,22403,28602
26/02/2014,22403,28611
26/02/2014,22403,28625
26/02/2014,22403,28653
26/02/2014,22403,28687
26/02/2014,22404,657
26/02/2014,22404,13637
26/02/2014,22404,16668
26/02/2014,22404,16685
26/02/2014,22404,23671
26/02/2014,22404,23676
26/02/2014,22404,24610
26/02/2014,22404,24617
26/02/2014,22404,24634
26/02/2014,22404,24688
26/02/2014,22404,26511
26/02/2014,22404,27556
26/02/2014,22404,27633
26/02/2014,22404,27644
26/02/2014,22404,27673
26/02/2014,22404,29511
26/02/2014,22404,29514
26/02/2014,22404,29548
26/02/2014,22405,13904
26/02/2014,22405,13912
26/02/2014,22405,13913
26/02/2014,22405,16906
26/02/2014,22405,16908
26/02/2014,22405,16916
26/02/2014,22405,17903
26/02/2014,22405,23902
26/02/2014,22405,23903
26/02/2014,22405,23904
26/02/2014,22405,23906
26/02/2014,22405,23915
26/02/2014,22405,26903
26/02/2014,22405,26918
26/02/2014,22405,27905
26/02/2014,22405,27906
26/02/2014,22405,27912
26/02/2014,22405,27914
26/02/2014,22405,27919
26/02/2014,22405,28901
26/02/2014,22406,23716
26/02/2014,22406,23837
26/02/2014,22406,25713
26/02/2014,22406,25717
26/02/2014,22406,25859
26/02/2014,22406,25881
26/02/2014,22406,25890
26/02/2014,22406,29854
26/02/2014,22406,29892
26/02/2014,22406,29898
26/02/2014,22406,30873
26/02/2014,22406,30880
26/02/2014,22406,30881
26/02/2014,22406,30886
26/02/2014,22406,30889
26/02/2014,22406,31865
26/02/2014,22406,33871
26/02/2014,22406,33878
26/02/2014,22407,13621
26/02/2014,22407,13657
