Shift,Point,Timing
ZPMM,1001240,05:30
ZPMM,1002572,01:00
ZPMM,1002573,06:00
ZPMM,1002574,03:30
ZPMM,1002575,08:00
ZPMM,1002577,05:30
ZPMM,1002580,05:30
ZPMM,1002581,04:00
ZPMM,1002582,04:00
ZPMM,1002583,04:30
ZPMM,1002585,09:00
ZPMM,1002587,03:00
ZPMM,1002590,04:30
ZPMM,1002592,08:00
ZPMM,1002593,08:00
ZPMM,1002594,03:00
ZPMM,1002598,04:30
ZPMM,1002599,04:30
ZPMM,1002602,03:30
ZPMM,1002603,04:00
ZPMM,1002604,08:00
ZPMM,1002607,04:30
ZPMM,1002608,05:00
ZPMM,1002609,04:00
ZPMM,1002610,05:00
ZPMM,1002611,04:00
ZPMM,1002615,08:00
ZPMM,1002616,08:00
ZPMM,1002618,06:00
ZPMM,1002619,06:00
ZPMM,1002620,06:00
ZPMM,1002621,06:00
ZPMM,1002622,08:00
ZPMM,1002623,08:00
ZPMM,1002626,08:00
ZPMM,1002627,07:00
ZPMM,1002628,07:00
ZPMM,1002630,06:00
ZPMM,1002632,07:00
ZPMM,1002633,07:00
ZPMM,1002634,06:00
ZPMM,1002635,06:00
ZPMM,1002636,08:00
ZPMM,1002638,08:00
ZPMM,1002639,08:00
ZPMM,1002641,07:00
ZPMM,1002642,07:00
ZPMM,1002643,08:00
ZPMM,1002648,05:00
ZPMM,1002651,08:00
ZPMM,1002652,08:00
ZPMM,1002656,06:00
ZPMM,1002657,06:00
ZPMM,1002662,06:00
ZPMM,1002666,07:00
ZPMM,1002667,04:00
ZPMM,1002668,03:00
ZPMM,1002669,05:00
ZPMM,1002673,03:30
ZPMM,1002674,03:30
ZPMM,1002678,04:15
ZPMM,1002680,05:00
ZPMM,1002681,07:00
ZPMM,1002684,05:00
ZPMM,1002685,05:00
ZPMM,1002686,04:15
ZPMM,1002687,04:30
ZPMM,1002691,04:30
ZPMM,1002696,07:00
ZPMM,1002697,07:00
ZPMM,1002698,05:00
ZPMM,1002702,04:30
ZPMM,1002704,04:30
