trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
06-08-15,AASTHA LOGISTICS PVT. LTD.,22509,DL1M5379,08:27:54,19:00:00
06-08-15,Jai Maa Enterprises,28014,DL1M7509,05:22:28,19:00:00
06-08-15,Vansh Enterprises,28008,DL1GC0179,05:36:19,19:00:00
06-08-15,Jai Maa Enterprises,29013,DL1M5211,05:40:28,19:00:00
06-08-15,Jai Maa Enterprises,29015,DL1M5199,05:43:38,19:00:00
06-08-15,Vansh Enterprises,28006,DL1GC0167,05:49:20,19:00:00
06-08-15,Jai Maa Enterprises,29011,DL1M5185,05:53:31,19:00:00
06-08-15,Jai Maa Enterprises,29012,DL1M5174,06:01:54,19:00:00
06-08-15,Vinayak Tanker Service,28016,DL1M7092,06:07:43,19:00:00
06-08-15,Jai Maa Enterprises,28019,DL1M4280,06:13:17,19:00:00
06-08-15,Vansh Enterprises,28005,DL1GC2651,06:18:51,19:00:00
06-08-15,Vansh Enterprises,28002,DL1GC2650,06:23:49,19:00:00
06-08-15,Durga Tpt Co,28017,DL1M6971,06:29:14,19:00:00
06-08-15,Vinayak Tanker Service,28012,DL1M6348,06:34:49,19:00:00
06-08-15,Vinayak Tanker Service,28011,DL1M6327,06:38:00,19:00:00
06-08-15,SANJAY SHARMA,22347,DL1LM4484,06:40:46,19:00:00
06-08-15,Jai Maa Enterprises,28018,DL1GC1904,06:41:31,19:00:00
06-08-15,Durga Tpt Co,22508,DL1M4302,06:42:34,19:00:00
06-08-15,Maheshwari Tpt Service,22409,DL1LS7035,06:42:51,19:00:00
06-08-15,Maheshwari Tpt Service,22417,DL1LS6035,06:45:49,19:00:00
06-08-15,SANJAY SHARMA,22428,DL1LP4464,06:48:55,19:00:00
06-08-15,Vansh Enterprises,28007,DL1GC2637,06:49:19,19:00:00
06-08-15,KALKA TRANSPORT SERVICE,22506,DL1M6363,06:50:02,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22326,DL1M5153,06:50:16,19:00:00
06-08-15,SANJAY SHARMA,22427,DL1LP5914,06:51:34,19:00:00
06-08-15,MANOJ KUMAR,29001,DL1LR5067,06:51:58,19:00:00
06-08-15,Maheshwari Tpt Service,22410,DL1LG5924,06:52:38,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22324,DL1M5164,06:54:14,19:00:00
06-08-15,NEO HOSPITALITIES,22432,DL1LS1927,06:55:42,19:00:00
06-08-15,Durga Tpt Co,28009,DL1M6301,06:57:02,19:00:00
06-08-15,Maheshwari Tpt Service,22401,DL1LS5915,06:57:08,19:00:00
06-08-15,Pooja Tpt Service,22430,DL1LK3892,06:58:10,19:00:00
06-08-15,Vinayak Tanker Service,28015,DL1GB8451,07:01:50,19:00:00
06-08-15,Pooja Tpt Service,22327,DL1LP1178,07:02:17,19:00:00
06-08-15,Pooja Tpt Service,22406,DL1LG6605,07:03:40,19:00:00
06-08-15,AASTHA LOGISTICS PVT. LTD.,22505,DL1M5396,07:03:41,19:00:00
06-08-15,SATLUJ GOODS CARRIERS,22314,DL1LP8647,07:04:45,19:00:00
06-08-15,MANOJ KUMAR,29002,DL1LP6172,07:05:50,19:00:00
06-08-15,Maheshwari Tpt Service,22414,DL1LG5925,07:06:11,19:00:00
06-08-15,Pooja Tpt Service,22412,DL1LK3795,07:07:23,19:00:00
06-08-15,NEO HOSPITALITIES,22422,DL1M4351,07:08:43,19:00:00
06-08-15,Vansh Enterprises,28004,DL1M4074,07:09:28,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22325,DL1M5279,07:10:04,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22431,DL1LK2805,07:11:37,19:00:00
06-08-15,Jai Maa Enterprises,28003,DL1M7218,07:13:35,19:00:00
