trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
18-08-15,Jai Maa Enterprises,2813,DL1M7288,20:36:09,07:00:00
18-08-15,Maheshwari Tpt Service,2439,DL1LG5924,20:36:09,07:00:00
18-08-15,AASTHA LOGISTICS PVT. LTD.,2509,DL1M5394,20:36:09,07:00:00
18-08-15,Vansh Enterprises,2807,DL1GC0167,16:38:39,07:00:00
18-08-15,Vinayak Tanker Service,2815,DL1M7092,16:52:02,07:00:00
18-08-15,Vinayak Tanker Service,2809,DL1GB8451,16:55:43,07:00:00
18-08-15,Vansh Enterprises,2803,DL1GC2696,17:03:26,07:00:00
18-08-15,Durga Tpt Co,2811,DL1M6300,17:19:14,07:00:00
18-08-15,Jai Maa Enterprises,2914,DL1M5185,17:23:51,07:00:00
18-08-15,MANOJ KUMAR,2901,DL1LR5067,17:28:47,07:00:00
18-08-15,MANOJ KUMAR,2902,DL1LP6173,17:31:26,07:00:00
18-08-15,Vansh Enterprises,2801,DL1GC2637,17:35:11,07:00:00
18-08-15,Jai Maa Enterprises,2912,DL1M5211,17:42:59,07:00:00
18-08-15,Jai Maa Enterprises,2913,DL1M5184,17:45:38,07:00:00
18-08-15,AASTHA LOGISTICS PVT. LTD.,2502,DL1M5378,17:51:15,07:00:00
18-08-15,KALKA TRANSPORT SERVICE,2503,DL1M6365,17:54:30,07:00:00
18-08-15,Jai Maa Enterprises,2812,DL1M7509,18:00:53,07:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,2324,DL1M5177,18:17:00,07:00:00
18-08-15,Durga Tpt Co,2508,DL1M4302,18:17:18,07:00:00
18-08-15,Vansh Enterprises,2805,DL1GC0179,18:22:59,07:00:00
18-08-15,AASTHA LOGISTICS PVT. LTD.,2501,DL1M5379,18:25:34,07:00:00
18-08-15,SATLUJ GOODS CARRIERS,2330,DL1LP9466,18:25:56,07:00:00
18-08-15,Jai Maa Enterprises,2819,DL1M4116,18:26:48,07:00:00
18-08-15,JEET TRANSPORT COMPANY,2326,DL1LP6217,18:27:08,07:00:00
18-08-15,Maheshwari Tpt Service,2417,DL1LK0164,18:28:04,07:00:00
