Route No,Plant,Schedule In,Schedule Out
300101,1130,23:00,00:45
300102,1130,21:00,22:45
300103,1130,23:00,00:45
300104,1130,23:00,00:45
300105,1130,21:00,22:45
300106,1130,23:00,00:45
300107,1130,20:00,21:30
300108,1130,21:00,22:45
300109,1130,23:00,00:45
300110,1130,01:00,02:30
300112,1130,21:00,22:45
300114,1130,01:00,02:30
300115,1130,23:00,00:45
300118,1130,01:00,02:45
300119,1130,23:00,00:45
300201,1130,23:00,00:45
300202,1130,23:00,00:45
300203,1130,23:00,00:45
300205,1130,01:00,02:30
300206,1130,01:00,02:30
300207,1130,23:00,00:45
300210,1130,23:00,00:45
300211,1130,01:00,02:30
300213,1130,01:00,02:30
300214,1130,23:00,00:45
300215,1130,01:00,02:30
300301,1130,01:00,02:30
300302,1130,01:00,02:30
300303,1130,23:00,00:45
300304,1130,21:00,22:45
300305,1130,01:00,02:30
300306,1130,01:00,02:30
300307,1130,23:00,00:45
300308,1130,21:00,22:45
300309,1130,23:00,00:45
300310,1130,21:00,22:45
300311,1130,01:00,02:30
300312,1130,23:00,00:45
300313,1130,01:00,02:30
300315,1130,01:00,02:30
300401,1130,21:00,22:45
300403,1130,21:00,22:45
300404,1130,21:00,22:45
300405,1130,21:00,22:45
300406,1130,21:00,22:45
300409,1130,21:00,22:45
300410,1130,21:00,22:45
300411,1130,21:00,22:45
300414,1130,21:00,22:45
300415,1130,21:00,22:45
300417,1130,01:00,01:45
300418,1130,21:00,22:45
300420,1130,21:00,22:45
300422,1130,23:00,00:45
300424,1130,19:00,20:30
300426,1130,21:00,22:45
300427,1130,23:00,00:45
300428,1130,23:00,00:45
300431,1130,23:00,00:45
