RouteNo.,Plant,Schedule IN time,Schedule OUT time,Shift
200807,1105,0:00,1:00,ZPME
201008,1105,2:00,3:30,ZPMM
201012,1105,2:00,3:30,ZPMM
201017,1105,2:00,3:30,ZPMM
201019,1105,2:00,3:30,ZPMM
201032,1105,2:00,3:30,ZPMM
201034,1105,2:00,3:30,ZPMM
201035,1105,2:00,3:30,ZPMM
201066,1105,2:00,3:30,ZPMM
201069,1105,2:00,3:30,ZPMM
201071,1105,2:00,3:30,ZPMM
201072,1105,2:00,3:30,ZPMM
201510,1105,2:00,3:30,ZPMM
201515,1105,2:00,3:30,ZPMM
201519,1105,2:00,3:30,ZPMM
201556,1105,2:00,3:30,ZPMM
201011,1105,3:30,5:00,ZPMM
201020,1105,3:30,5:00,ZPMM
201024,1105,3:30,5:00,ZPMM
201028,1105,3:30,5:00,ZPMM
201033,1105,3:30,5:00,ZPMM
201044,1105,3:30,5:00,ZPMM
201046,1105,3:30,5:00,ZPMM
201050,1105,3:30,5:00,ZPMM
201059,1105,3:30,5:00,ZPMM
201061,1105,3:30,5:00,ZPMM
201067,1105,3:30,5:00,ZPMM
201079,1105,3:30,5:00,ZPMM
201003,1105,5:00,7:00,ZPMM
201004,1105,5:00,7:00,ZPMM
201005,1105,5:00,7:00,ZPMM
201006,1105,5:00,7:00,ZPMM
201023,1105,5:00,7:00,ZPMM
201030,1105,5:00,7:00,ZPMM
201047,1105,5:00,7:00,ZPMM
201048,1105,5:00,7:00,ZPMM
201060,1105,5:00,7:00,ZPMM
201074,1105,5:00,7:00,ZPMM
201509,1105,5:00,7:00,ZPMM
201511,1105,5:00,7:00,ZPMM
201542,1105,5:00,7:00,ZPMM
201811,1105,5:00,7:00,ZPMM
201809,1105,7:00,8:00,ZPMM
200644,1105,11:00,12:00,ZPME
200001,1105,15:00,16:30,ZPME
200002,1105,15:00,16:30,ZPME
200003,1105,15:00,16:30,ZPME
200005,1105,15:00,16:30,ZPME
200015,1105,15:00,16:30,ZPME
200017,1105,15:00,16:30,ZPME
200028,1105,15:00,16:30,ZPME
200034,1105,15:00,16:30,ZPME
200040,1105,15:00,16:30,ZPME
200041,1105,15:00,16:30,ZPME
200042,1105,15:00,16:30,ZPME
200043,1105,15:00,16:30,ZPME
200048,1105,15:00,16:30,ZPME
200053,1105,15:00,16:30,ZPME
200060,1105,15:00,16:30,ZPME
200606,1105,15:00,16:30,ZPME
200010,1105,16:30,18:30,ZPME
200502,1105,16:30,18:30,ZPME
200504,1105,16:30,18:30,ZPME
200510,1105,16:30,18:30,ZPME
200520,1105,16:30,18:30,ZPME
200523,1105,16:30,18:30,ZPME
200529,1105,16:30,18:30,ZPME
200535,1105,16:30,18:30,ZPME
200552,1105,16:30,18:30,ZPME
200564,1105,16:30,18:30,ZPME
200588,1105,16:30,18:30,ZPME
200599,1105,16:30,18:30,ZPME
200603,1105,16:30,18:30,ZPME
200622,1105,16:30,18:30,ZPME
200656,1105,16:30,18:30,ZPME
200809,1105,16:30,18:30,ZPME
200021,1105,18:30,22:30,ZPME
200505,1105,18:30,20:30,ZPME
200506,1105,18:30,20:30,ZPME
200507,1105,18:30,20:30,ZPME
200508,1105,18:30,20:30,ZPME
