RouteNo,Plant,Schedule IN time,Schedule OUT time,Shift,Route Type
22301,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22311,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22312,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22313,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22314,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22315,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22316,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22317,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22318,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22319,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22320,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22321,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22322,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22323,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22324,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22325,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22326,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22327,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22328,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22329,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22330,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22331,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22349,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22350,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22401,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22402,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22403,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22404,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22405,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22406,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22407,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22408,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22409,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22410,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22411,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22412,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22413,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22414,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22415,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22416,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22417,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22418,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22419,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22420,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22421,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22422,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22423,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22424,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22425,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22426,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22427,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22428,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22429,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22430,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22431,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22432,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22433,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22434,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22435,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22436,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22437,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22438,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22439,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22440,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22501,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22502,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22503,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22504,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22505,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22506,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22507,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22508,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22509,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22510,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22511,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22512,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22513,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22514,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22515,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z2
22698,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
22699,1100 MD-Plant PPG,6:00,8:00,ZBVM,Z3
28001,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28002,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28003,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28004,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28005,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28006,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28007,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28008,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28009,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28010,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28011,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28012,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28013,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28014,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28015,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28016,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28017,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28018,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28019,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28020,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28021,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28022,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28023,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28024,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
28025,1512 IPL-SKD,5:00,7:00,ZBVM,Z2
29001,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29002,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29011,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29012,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29013,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29014,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29015,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29016,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29017,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29018,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29019,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
29020,1512 IPL-SKD,5:00,7:00,ZBVM,Z3
2311,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2312,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2313,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2314,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2315,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2316,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2317,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2318,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2319,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2320,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2321,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2322,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
2323,1100 MD-Plant PPG,17:00,20:00,ZBVE,Z3
