Billing Date,Route,Sold-to party
20-08-15,2311,13648
20-08-15,2311,16693
20-08-15,2311,16697
20-08-15,2311,24612
20-08-15,2311,25620
20-08-15,2311,26621
20-08-15,2311,27665
20-08-15,2311,27690
20-08-15,2311,28690
20-08-15,2311,29617
20-08-15,2311,29618
20-08-15,2311,30524
20-08-15,2312,1512
20-08-15,2312,23534
20-08-15,2312,23565
20-08-15,2312,24549
20-08-15,2312,26543
20-08-15,2312,26594
20-08-15,2312,27516
20-08-15,2312,28513
20-08-15,2312,28533
20-08-15,2312,29504
20-08-15,2312,30513
20-08-15,2312,30515
20-08-15,2312,30522
20-08-15,2312,30546
20-08-15,2312,30549
20-08-15,2313,8
20-08-15,2313,236
20-08-15,2313,17030
20-08-15,2313,23018
20-08-15,2313,23042
20-08-15,2313,24009
20-08-15,2313,26088
20-08-15,2313,27062
20-08-15,2313,27089
20-08-15,2313,27092
20-08-15,2313,28034
20-08-15,2314,23
20-08-15,2314,16079
20-08-15,2314,17020
20-08-15,2314,23027
20-08-15,2314,24038
20-08-15,2314,26012
20-08-15,2314,26087
20-08-15,2314,27005
20-08-15,2314,27057
20-08-15,2314,27093
20-08-15,2314,28029
20-08-15,2314,28030
20-08-15,2314,28033
20-08-15,2314,28042
20-08-15,2315,13503
20-08-15,2315,16592
20-08-15,2315,23519
20-08-15,2315,23539
20-08-15,2315,23572
20-08-15,2315,25516
20-08-15,2315,25587
20-08-15,2315,26546
20-08-15,2315,26564
20-08-15,2315,27572
20-08-15,2315,28517
20-08-15,2315,28579
20-08-15,2315,29523
20-08-15,2315,29542
20-08-15,2315,29596
20-08-15,2315,30553
20-08-15,2315,30559
20-08-15,2316,508
20-08-15,2316,559
20-08-15,2316,10515
20-08-15,2316,16567
20-08-15,2316,16581
20-08-15,2316,23524
20-08-15,2316,26519
20-08-15,2316,26566
20-08-15,2316,28532
20-08-15,2316,29544
20-08-15,2316,30552
20-08-15,2317,1514
20-08-15,2317,13504
20-08-15,2317,13518
20-08-15,2317,16524
20-08-15,2317,16575
20-08-15,2317,23511
20-08-15,2317,23517
20-08-15,2317,23526
20-08-15,2317,24564
20-08-15,2317,24565
20-08-15,2317,25553
20-08-15,2317,26554
20-08-15,2317,27573
20-08-15,2317,28509
20-08-15,2317,29527
20-08-15,2317,29528
20-08-15,2317,29564
20-08-15,2317,30502
20-08-15,2317,30532
20-08-15,2318,634
20-08-15,2318,13602
20-08-15,2318,13659
20-08-15,2318,13692
20-08-15,2318,16144
20-08-15,2318,16627
20-08-15,2318,16638
20-08-15,2318,16672
20-08-15,2318,23617
20-08-15,2318,23620
20-08-15,2318,23654
20-08-15,2318,24648
20-08-15,2318,28651
20-08-15,2318,29619
20-08-15,2318,29620
20-08-15,2318,29621
20-08-15,2318,29624
20-08-15,2319,13619
20-08-15,2319,13656
20-08-15,2319,13674
20-08-15,2319,16139
20-08-15,2319,17604
20-08-15,2319,25606
20-08-15,2319,27620
20-08-15,2319,27649
20-08-15,2319,28658
20-08-15,2319,28696
20-08-15,2319,29612
20-08-15,2319,29625
20-08-15,2319,29644
20-08-15,2320,102
20-08-15,2320,142
20-08-15,2320,13687
20-08-15,2320,16114
20-08-15,2320,23116
20-08-15,2320,23123
20-08-15,2320,26124
20-08-15,2320,26138
20-08-15,2320,26141
20-08-15,2320,26144
20-08-15,2320,27634
20-08-15,2320,27648
20-08-15,2321,315
20-08-15,2321,10618
20-08-15,2321,17603
20-08-15,2321,17608
20-08-15,2321,24603
20-08-15,2321,26316
20-08-15,2321,28601
20-08-15,2321,28644
20-08-15,2321,28647
20-08-15,2322,16092
20-08-15,2322,16098
20-08-15,2322,17015
20-08-15,2322,17036
20-08-15,2322,23031
20-08-15,2322,23081
20-08-15,2322,26039
20-08-15,2322,26061
20-08-15,2322,27011
20-08-15,2322,27012
20-08-15,2322,27015
20-08-15,2323,13046
20-08-15,2323,13075
20-08-15,2323,16003
20-08-15,2323,16007
20-08-15,2323,16036
20-08-15,2323,17013
20-08-15,2323,17039
20-08-15,2323,17041
20-08-15,2323,23012
20-08-15,2323,27017
20-08-15,2323,27065
20-08-15,2323,27066
20-08-15,2323,28032
20-08-15,2324,406
20-08-15,2324,13511
20-08-15,2324,23520
20-08-15,2324,23531
20-08-15,2324,23552
20-08-15,2324,23556
20-08-15,2324,23563
20-08-15,2324,27565
20-08-15,2324,28508
20-08-15,2324,28565
20-08-15,2324,28570
20-08-15,2324,30514
20-08-15,2324,30568
20-08-15,2325,418
20-08-15,2325,19302
20-08-15,2325,23303
20-08-15,2325,23568
20-08-15,2325,26304
20-08-15,2325,26313
20-08-15,2325,28512
20-08-15,2325,28524
20-08-15,2325,28574
20-08-15,2325,29517
20-08-15,2325,29590
20-08-15,2326,13603
20-08-15,2326,16116
20-08-15,2326,16118
20-08-15,2326,16136
20-08-15,2326,16151
20-08-15,2326,23107
20-08-15,2326,23138
20-08-15,2326,23307
20-08-15,2326,26121
20-08-15,2326,26122
20-08-15,2326,26126
20-08-15,2326,26127
20-08-15,2326,26149
20-08-15,2326,28688
20-08-15,2327,13626
20-08-15,2327,13646
20-08-15,2327,13649
20-08-15,2327,13676
20-08-15,2327,13690
20-08-15,2327,16636
20-08-15,2327,16649
20-08-15,2327,17602
20-08-15,2327,25635
20-08-15,2327,28662
20-08-15,2327,28699
20-08-15,2327,29603
20-08-15,2327,29605
20-08-15,2327,29642
20-08-15,2327,29645
20-08-15,2328,13616
20-08-15,2328,13627
20-08-15,2328,13653
20-08-15,2328,13666
20-08-15,2328,13678
20-08-15,2328,16601
20-08-15,2328,16602
20-08-15,2328,16671
20-08-15,2328,24642
20-08-15,2328,26659
20-08-15,2328,27627
20-08-15,2328,27636
20-08-15,2328,28631
20-08-15,2328,28692
20-08-15,2328,29627
20-08-15,2329,534
20-08-15,2329,13514
20-08-15,2329,16579
20-08-15,2329,16593
20-08-15,2329,16595
20-08-15,2329,17506
20-08-15,2329,24519
20-08-15,2329,24555
20-08-15,2329,26556
20-08-15,2329,26583
20-08-15,2329,27514
20-08-15,2329,27537
20-08-15,2329,27538
20-08-15,2329,27544
20-08-15,2329,27563
20-08-15,2329,30535
20-08-15,2329,30550
20-08-15,2329,30565
20-08-15,2330,13717
20-08-15,2330,16770
20-08-15,2330,17710
20-08-15,2330,23709
20-08-15,2330,23744
20-08-15,2330,23763
20-08-15,2330,23770
20-08-15,2330,26740
20-08-15,2330,28732
20-08-15,2330,28798
20-08-15,2330,29754
20-08-15,2330,30706
20-08-15,2330,30709
20-08-15,2330,30737
20-08-15,2330,30756
20-08-15,2330,30772
20-08-15,2330,30775
20-08-15,2349,13728
20-08-15,2349,13734
20-08-15,2349,13750
20-08-15,2349,16727
20-08-15,2349,16786
20-08-15,2349,17709
20-08-15,2349,23720
20-08-15,2349,23790
20-08-15,2349,28789
20-08-15,2349,29757
20-08-15,2401,13624
20-08-15,2401,13684
20-08-15,2401,13698
20-08-15,2401,16681
20-08-15,2401,17607
20-08-15,2401,23637
20-08-15,2401,24688
20-08-15,2401,26590
20-08-15,2401,26677
20-08-15,2401,27557
20-08-15,2401,27601
20-08-15,2401,27609
20-08-15,2401,27639
20-08-15,2401,27670
20-08-15,2401,27695
20-08-15,2401,28634
20-08-15,2401,29519
20-08-15,2401,29551
20-08-15,2401,30504
20-08-15,2401,30527
20-08-15,2402,13715
20-08-15,2402,13727
20-08-15,2402,16725
20-08-15,2402,16758
20-08-15,2402,24712
20-08-15,2402,26764
20-08-15,2402,27728
20-08-15,2402,28721
20-08-15,2402,30715
20-08-15,2402,30744
20-08-15,2402,30765
20-08-15,2402,30778
20-08-15,2403,13729
20-08-15,2403,13763
20-08-15,2403,16787
20-08-15,2403,17708
20-08-15,2403,24779
20-08-15,2403,27788
20-08-15,2403,28723
20-08-15,2403,28766
20-08-15,2403,28769
20-08-15,2403,28795
20-08-15,2403,29745
20-08-15,2403,30710
20-08-15,2403,30764
20-08-15,2404,13631
20-08-15,2404,13679
20-08-15,2404,13686
20-08-15,2404,16676
20-08-15,2404,23611
20-08-15,2404,23632
20-08-15,2404,27617
20-08-15,2404,27641
20-08-15,2404,27646
20-08-15,2404,27686
20-08-15,2404,27687
20-08-15,2404,27694
20-08-15,2404,28522
20-08-15,2404,28621
20-08-15,2404,29583
20-08-15,2405,13023
20-08-15,2405,13028
20-08-15,2405,13056
20-08-15,2405,13061
20-08-15,2405,13063
20-08-15,2405,16006
20-08-15,2405,16059
20-08-15,2405,17032
20-08-15,2405,23067
20-08-15,2405,24077
20-08-15,2405,28002
20-08-15,2406,13764
20-08-15,2406,17704
20-08-15,2406,17706
20-08-15,2406,17712
20-08-15,2406,17713
20-08-15,2406,23775
20-08-15,2406,26718
20-08-15,2406,26784
20-08-15,2406,28711
20-08-15,2406,28738
20-08-15,2406,28741
20-08-15,2407,13748
20-08-15,2407,13757
20-08-15,2407,23703
20-08-15,2407,26730
20-08-15,2407,26745
20-08-15,2407,26779
20-08-15,2407,26791
20-08-15,2407,27748
20-08-15,2407,27768
20-08-15,2407,29737
20-08-15,2407,29740
20-08-15,2407,29761
20-08-15,2407,29791
20-08-15,2407,30714
20-08-15,2407,30735
20-08-15,2407,30752
20-08-15,2407,30766
20-08-15,2408,13620
20-08-15,2408,13630
20-08-15,2408,16604
20-08-15,2408,23643
20-08-15,2408,23660
20-08-15,2408,23698
20-08-15,2408,24523
20-08-15,2408,24651
20-08-15,2408,25601
20-08-15,2408,25616
20-08-15,2408,27685
20-08-15,2408,27697
20-08-15,2408,28569
20-08-15,2408,30525
20-08-15,2408,30542
20-08-15,2409,16744
