Billing Date,Route,Sold-to party
21-08-15,22311,13714
21-08-15,22311,23798
21-08-15,22311,23899
21-08-15,22311,27726
21-08-15,22311,28883
21-08-15,22311,29733
21-08-15,22311,29763
21-08-15,22311,29887
21-08-15,22311,29889
21-08-15,22311,31898
21-08-15,22311,32887
21-08-15,22311,34856
21-08-15,22311,34862
21-08-15,22311,34864
21-08-15,22311,34871
21-08-15,22311,34899
21-08-15,22312,12857
21-08-15,22312,12899
21-08-15,22312,13870
21-08-15,22312,13895
21-08-15,22312,17805
21-08-15,22312,23829
21-08-15,22312,24794
21-08-15,22312,24809
21-08-15,22312,27839
21-08-15,22312,28816
21-08-15,22312,28817
21-08-15,22312,30862
21-08-15,22312,32871
21-08-15,22312,34859
21-08-15,22312,34879
21-08-15,22312,34882
21-08-15,22312,35852
21-08-15,22313,12867
21-08-15,22313,13863
21-08-15,22313,23897
21-08-15,22313,24879
21-08-15,22313,24898
21-08-15,22313,25860
21-08-15,22313,27896
21-08-15,22313,28862
21-08-15,22313,30865
21-08-15,22313,32878
21-08-15,22313,34866
21-08-15,22313,34895
21-08-15,22314,16708
21-08-15,22314,23850
21-08-15,22314,25880
21-08-15,22314,25892
21-08-15,22314,25894
21-08-15,22314,26885
21-08-15,22314,27885
21-08-15,22314,29853
21-08-15,22314,29867
21-08-15,22314,29894
21-08-15,22314,30877
21-08-15,22314,30888
21-08-15,22314,31892
21-08-15,22314,32891
21-08-15,22314,33859
21-08-15,22314,33882
21-08-15,22314,33892
21-08-15,22314,34868
21-08-15,22314,34887
21-08-15,22315,349
21-08-15,22315,407
21-08-15,22315,416
21-08-15,22315,523
21-08-15,22315,16311
21-08-15,22315,28574
21-08-15,22315,29590
21-08-15,22315,30503
21-08-15,22316,23929
21-08-15,22316,26925
21-08-15,22316,26929
21-08-15,22316,26940
21-08-15,22316,26943
21-08-15,22316,26949
21-08-15,22316,27924
21-08-15,22316,27933
21-08-15,22316,27942
21-08-15,22316,27946
21-08-15,22316,27947
21-08-15,22316,27948
21-08-15,22317,1502
21-08-15,22317,1504
21-08-15,22317,16513
21-08-15,22317,16533
21-08-15,22317,16591
21-08-15,22317,23501
21-08-15,22317,23550
21-08-15,22317,23578
21-08-15,22317,23587
21-08-15,22317,24532
21-08-15,22317,24536
21-08-15,22317,24575
21-08-15,22317,27502
21-08-15,22317,28526
21-08-15,22317,28567
21-08-15,22317,28595
21-08-15,22317,29532
21-08-15,22317,29560
21-08-15,22317,30507
21-08-15,22318,13513
21-08-15,22318,13516
21-08-15,22318,13517
21-08-15,22318,16504
21-08-15,22318,16555
21-08-15,22318,23523
21-08-15,22318,23525
21-08-15,22318,23544
21-08-15,22318,24501
21-08-15,22318,24542
21-08-15,22318,24543
21-08-15,22318,26549
21-08-15,22318,26561
21-08-15,22318,26585
21-08-15,22318,26944
21-08-15,22318,27515
21-08-15,22318,27552
21-08-15,22318,28564
21-08-15,22318,29546
21-08-15,22318,29571
21-08-15,22319,602
21-08-15,22319,616
21-08-15,22319,663
21-08-15,22319,665
21-08-15,22319,1603
21-08-15,22319,10214
21-08-15,22319,16310
21-08-15,22319,16603
21-08-15,22319,23609
21-08-15,22319,23662
21-08-15,22319,23687
21-08-15,22319,24627
21-08-15,22319,28674
21-08-15,22320,632
21-08-15,22320,16101
21-08-15,22320,16127
21-08-15,22320,16129
21-08-15,22320,16141
21-08-15,22320,23080
21-08-15,22320,23085
21-08-15,22320,23109
21-08-15,22320,23125
21-08-15,22320,23134
21-08-15,22320,26116
21-08-15,22321,23505
21-08-15,22321,23506
21-08-15,22321,23509
21-08-15,22321,23512
21-08-15,22321,23563
21-08-15,22321,23588
21-08-15,22321,24534
21-08-15,22321,26501
21-08-15,22321,26589
21-08-15,22321,27554
21-08-15,22321,27571
21-08-15,22321,27582
21-08-15,22321,28504
21-08-15,22321,28573
21-08-15,22321,29501
21-08-15,22321,29536
21-08-15,22321,29579
21-08-15,22321,30539
21-08-15,22322,1505
21-08-15,22322,10524
21-08-15,22322,10526
21-08-15,22322,16548
21-08-15,22322,16599
21-08-15,22322,23541
21-08-15,22322,24527
21-08-15,22322,25574
21-08-15,22322,27579
21-08-15,22322,28518
21-08-15,22322,28562
21-08-15,22322,28589
21-08-15,22322,29557
21-08-15,22322,30509
21-08-15,22323,16821
21-08-15,22323,19801
21-08-15,22323,24803
21-08-15,22323,24816
21-08-15,22323,26826
21-08-15,22323,26838
21-08-15,22323,26847
21-08-15,22323,26849
21-08-15,22323,26850
21-08-15,22323,26863
21-08-15,22323,27820
21-08-15,22324,16564
21-08-15,22324,16578
21-08-15,22324,17507
21-08-15,22324,17510
21-08-15,22324,23557
21-08-15,22324,23577
21-08-15,22324,24520
21-08-15,22324,25577
21-08-15,22324,25578
21-08-15,22324,26516
21-08-15,22324,28540
21-08-15,22324,28576
21-08-15,22324,28588
21-08-15,22324,28703
21-08-15,22324,29516
21-08-15,22324,29558
21-08-15,22324,30554
21-08-15,22324,30557
21-08-15,22324,30564
21-08-15,22325,16840
21-08-15,22325,17852
21-08-15,22325,23718
21-08-15,22325,23846
21-08-15,22325,23853
21-08-15,22325,23864
21-08-15,22325,23881
21-08-15,22325,23882
21-08-15,22325,23896
21-08-15,22325,24861
21-08-15,22325,25865
21-08-15,22325,25876
21-08-15,22325,27881
21-08-15,22325,28808
21-08-15,22325,33855
21-08-15,22325,33889
21-08-15,22325,33894
21-08-15,22325,33898
21-08-15,22325,34880
