trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
21-08-15,Maheshwari Tpt Service,22301,DL1LS6045,05:14:58,19:00:00
21-08-15,SATLUJ GOODS CARRIERS,22311,DL1LP9466,07:01:01,19:00:00
21-08-15,NEO HOSPITALITIES,22312,DL1LM0334,07:22:00,19:00:00
21-08-15,NEO HOSPITALITIES,22313,DL1LK9908,07:26:35,19:00:00
21-08-15,SATLUJ GOODS CARRIERS,22314,DL1LP8036,07:54:17,19:00:00
21-08-15,JEET TRANSPORT COMPANY,22315,DL1LR2017,07:52:59,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22316,DL1M5465,07:37:24,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22317,DL1M5169,07:10:57,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22318,DL1M5480,07:20:19,19:00:00
21-08-15,JEET TRANSPORT COMPANY,22319,DL1LP5678,07:51:15,19:00:00
21-08-15,JEET TRANSPORT COMPANY,22320,DL1LP6217,05:14:58,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22321,DL1M5212,06:48:51,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22322,DL1M5194,07:57:56,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22323,DL1M5457,07:38:43,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22324,DL1M5164,06:43:18,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22325,DL1M5207,06:53:19,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22326,DL1M5153,06:41:56,19:00:00
21-08-15,Pooja Tpt Service,22327,DL1LP1178,07:04:51,19:00:00
21-08-15,NEO HOSPITALITIES,22328,DL1LM1328,07:07:34,19:00:00
21-08-15,SATLUJ GOODS CARRIERS,22329,DL1LP8041,05:14:58,19:00:00
21-08-15,SATLUJ GOODS CARRIERS,22330,DL1LP8218,07:35:48,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22331,DL1M5177,05:14:58,19:00:00
21-08-15,SANJAY SHARMA,22347,DL1LM4016,06:50:23,19:00:00
21-08-15,Vinayak Tanker Service,22350,DL1M5446,05:14:58,19:00:00
21-08-15,Maheshwari Tpt Service,22401,DL1LS5915,06:45:56,19:00:00
21-08-15,NEO HOSPITALITIES,22402,DL1LP8279,05:14:58,19:00:00
21-08-15,Maheshwari Tpt Service,22403,DL1LG6691,07:49:14,19:00:00
21-08-15,Maheshwari Tpt Service,22404,DL1LK0262,05:14:58,19:00:00
21-08-15,Maheshwari Tpt Service,22405,DL1LG6583,07:43:29,19:00:00
21-08-15,Pooja Tpt Service,22406,DL1LG6605,05:14:58,19:00:00
21-08-15,Maheshwari Tpt Service,22407,DL1LG5886,07:47:53,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22408,DL1LG7673,07:46:31,19:00:00
21-08-15,Maheshwari Tpt Service,22409,DL1LS7035,06:58:24,19:00:00
21-08-15,Maheshwari Tpt Service,22410,DL1LG5924,07:06:18,19:00:00
21-08-15,Maheshwari Tpt Service,22411,DL1LG4950,07:24:42,19:00:00
21-08-15,Pooja Tpt Service,22412,DL1LK3795,05:14:58,19:00:00
21-08-15,Maheshwari Tpt Service,22413,DL1LK0164,07:17:06,19:00:00
21-08-15,NEO HOSPITALITIES,22414,DL1M4482,07:29:35,19:00:00
21-08-15,Maheshwari Tpt Service,22415,DL1LG6692,07:08:46,19:00:00
21-08-15,NEO HOSPITALITIES,22416,DL1LS7038,07:40:29,19:00:00
21-08-15,Maheshwari Tpt Service,22417,DL1LS6035,06:37:47,19:00:00
21-08-15,SANJAY SHARMA,22418,DL1LP5915,06:44:47,19:00:00
21-08-15,Maheshwari Tpt Service,22419,DL1LG4886,06:47:06,19:00:00
21-08-15,Maheshwari Tpt Service,22420,DL1LG5926,07:18:51,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22421,DL1LK0303,06:51:50,19:00:00
21-08-15,NEO HOSPITALITIES,22422,DL1M4351,07:45:08,19:00:00
21-08-15,NEO HOSPITALITIES,22423,DL1LK5866,07:42:04,19:00:00
21-08-15,Maheshwari Tpt Service,22424,DL1LK0165,07:23:31,19:00:00
21-08-15,NEO HOSPITALITIES,22425,DL1M4466,07:28:01,19:00:00
21-08-15,Maheshwari Tpt Service,22426,DL1LG4948,07:03:02,19:00:00
21-08-15,SANJAY SHARMA,22427,DL1LP5914,07:15:30,19:00:00
21-08-15,SANJAY SHARMA,22428,DL1LP4464,07:13:39,19:00:00
21-08-15,SANJAY SHARMA,22429,DL1LP6568,05:14:58,19:00:00
21-08-15,Pooja Tpt Service,22430,DL1LK3892,06:55:37,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22431,DL1LG4590,07:30:41,19:00:00
21-08-15,NEO HOSPITALITIES,22432,DL1LS1926,07:34:17,19:00:00
21-08-15,Pooja Tpt Service,22433,DL1LG6604,06:38:57,19:00:00
21-08-15,JEET TRANSPORT COMPANY,22434,DL1LW0107,07:56:43,19:00:00
21-08-15,SHRI JAI GURUDEV TRANSPORT SER,22436,DL1LG7672,05:14:58,19:00:00
21-08-15,AASTHA LOGISTICS PVT. LTD.,22501,DL1M5378,07:10:08,19:00:00
21-08-15,AASTHA LOGISTICS PVT. LTD.,22502,DL1M5358,07:03:48,19:00:00
21-08-15,AASTHA LOGISTICS PVT. LTD.,22503,DL1M5394,07:06:06,19:00:00
21-08-15,AASTHA LOGISTICS PVT. LTD.,22504,DL1M5395,06:44:30,19:00:00
21-08-15,AASTHA LOGISTICS PVT. LTD.,22505,DL1M5379,06:42:19,19:00:00
21-08-15,KALKA TRANSPORT SERVICE,22506,DL1M6363,06:38:58,19:00:00
21-08-15,KALKA TRANSPORT SERVICE,22507,DL1M6364,07:14:41,19:00:00
21-08-15,Durga Tpt Co,22508,DL1M4302,07:23:56,19:00:00
21-08-15,AASTHA LOGISTICS PVT. LTD.,22509,DL1M5396,05:14:58,19:00:00
21-08-15,Vansh Enterprises,28001,DL1GC2696,05:52:25,19:00:00
21-08-15,Vansh Enterprises,28002,DL1GC2650,05:32:25,19:00:00
21-08-15,Jai Maa Enterprises,28003,DL1M7218,05:14:58,19:00:00
21-08-15,Vansh Enterprises,28004,DL1M4395,07:08:22,19:00:00
21-08-15,Vansh Enterprises,28005,DL1GC2651,06:04:35,19:00:00
21-08-15,Vansh Enterprises,28006,DL1GC2637,06:11:59,19:00:00
21-08-15,Vansh Enterprises,28007,DL1GC0167,06:34:03,19:00:00
21-08-15,Vansh Enterprises,28008,DL1M4074,07:12:13,19:00:00
21-08-15,Durga Tpt Co,28009,DL1M6301,06:42:29,19:00:00
21-08-15,Durga Tpt Co,28010,DL1M6971,06:58:39,19:00:00
21-08-15,Vinayak Tanker Service,28011,DL1M6348,06:48:16,19:00:00
21-08-15,Durga Tpt Co,28012,DL1M6300,07:20:13,19:00:00
21-08-15,Jai Maa Enterprises,28013,DL1M7290,05:39:38,19:00:00
21-08-15,Jai Maa Enterprises,28014,DL1M4280,06:28:11,19:00:00
21-08-15,Vinayak Tanker Service,28015,DL1GB8451,07:03:50,19:00:00
21-08-15,Durga Tpt Co,28016,DL1M6948,05:22:00,19:00:00
21-08-15,Vinayak Tanker Service,28017,DL1M7092,06:38:08,19:00:00
21-08-15,Jai Maa Enterprises,28018,DL1GC1904,05:46:43,19:00:00
21-08-15,Jai Maa Enterprises,28019,DL1M7509,06:17:47,19:00:00
21-08-15,MANOJ KUMAR,29001,DL1LR5067,06:55:17,19:00:00
21-08-15,MANOJ KUMAR,29002,DL1LP6173,06:52:20,19:00:00
21-08-15,MANOJ KUMAR,29003,DL1LV9450,00:13:48,19:00:00
21-08-15,Jai Maa Enterprises,29011,DL1M5184,07:32:55,19:00:00
21-08-15,Jai Maa Enterprises,29012,DL1M5174,05:59:14,19:00:00
21-08-15,Jai Maa Enterprises,29013,DL1M5211,05:26:31,19:00:00
21-08-15,Jai Maa Enterprises,29014,DL1M5176,07:22:54,19:00:00
21-08-15,Jai Maa Enterprises,29015,DL1M5199,06:20:50,19:00:00
